Metric,Year,Value
Tax Effect Of Unusual Items,2023-12-31,0.0
Tax Rate For Calcs,2023-12-31,0.21
Normalized EBITDA,2023-12-31,14796000000.0
Total Unusual Items,2023-12-31,0.0
Total Unusual Items Excluding Goodwill,2023-12-31,0.0
Net Income From Continuing Operation Net Minority Interest,2023-12-31,14999000000.0
Reconciled Depreciation,2023-12-31,4667000000.0
Reconciled Cost Of Revenue,2023-12-31,79113000000.0
EBITDA,2023-12-31,14796000000.0
EBIT,2023-12-31,10129000000.0
Net Interest Income,2023-12-31,910000000.0
Interest Expense,2023-12-31,156000000.0
Interest Income,2023-12-31,1066000000.0
Normalized Income,2023-12-31,14999000000.0
Net Income From Continuing And Discontinued Operation,2023-12-31,14999000000.0
Total Expenses,2023-12-31,87882000000.0
Rent Expense Supplemental,2023-12-31,1268000000.0
Total Operating Income As Reported,2023-12-31,8891000000.0
Diluted Average Shares,2023-12-31,3482750000.0
Basic Average Shares,2023-12-31,3173500000.0
Diluted EPS,2023-12-31,4.31
Basic EPS,2023-12-31,4.725697
Diluted NI Availto Com Stockholders,2023-12-31,14999000000.0
Average Dilution Earnings,2023-12-31,0.0
Net Income Common Stockholders,2023-12-31,14999000000.0
Otherunder Preferred Stock Dividend,2023-12-31,
Net Income,2023-12-31,14999000000.0
Minority Interests,2023-12-31,25000000.0
Net Income Including Noncontrolling Interests,2023-12-31,14974000000.0
Net Income Continuous Operations,2023-12-31,14974000000.0
Tax Provision,2023-12-31,-5001000000.0
Pretax Income,2023-12-31,9973000000.0
Other Income Expense,2023-12-31,172000000.0
Other Non Operating Income Expenses,2023-12-31,172000000.0
Special Income Charges,2023-12-31,0.0
Restructuring And Mergern Acquisition,2023-12-31,0.0
Net Non Operating Interest Income Expense,2023-12-31,910000000.0
Interest Expense Non Operating,2023-12-31,156000000.0
Interest Income Non Operating,2023-12-31,1066000000.0
Operating Income,2023-12-31,8891000000.0
Operating Expense,2023-12-31,8769000000.0
Research And Development,2023-12-31,3969000000.0
Selling General And Administration,2023-12-31,4800000000.0
Gross Profit,2023-12-31,17660000000.0
Cost Of Revenue,2023-12-31,79113000000.0
Total Revenue,2023-12-31,96773000000.0
Operating Revenue,2023-12-31,96773000000.0
Tax Effect Of Unusual Items,2022-12-31,-14080000.0
Tax Rate For Calcs,2022-12-31,0.08
Normalized EBITDA,2022-12-31,17833000000.0
Total Unusual Items,2022-12-31,-176000000.0
Total Unusual Items Excluding Goodwill,2022-12-31,-176000000.0
Net Income From Continuing Operation Net Minority Interest,2022-12-31,12583000000.0
Reconciled Depreciation,2022-12-31,3747000000.0
Reconciled Cost Of Revenue,2022-12-31,60609000000.0
EBITDA,2022-12-31,17657000000.0
EBIT,2022-12-31,13910000000.0
Net Interest Income,2022-12-31,106000000.0
Interest Expense,2022-12-31,191000000.0
Interest Income,2022-12-31,297000000.0
Normalized Income,2022-12-31,12744920000.0
Net Income From Continuing And Discontinued Operation,2022-12-31,12583000000.0
Total Expenses,2022-12-31,67630000000.0
Rent Expense Supplemental,2022-12-31,1509000000.0
Total Operating Income As Reported,2022-12-31,13656000000.0
Diluted Average Shares,2022-12-31,3475000000.0
Basic Average Shares,2022-12-31,3130000000.0
Diluted EPS,2022-12-31,3.62
Basic EPS,2022-12-31,4.02
Diluted NI Availto Com Stockholders,2022-12-31,12584000000.0
Average Dilution Earnings,2022-12-31,1000000.0
Net Income Common Stockholders,2022-12-31,12583000000.0
Otherunder Preferred Stock Dividend,2022-12-31,
Net Income,2022-12-31,12583000000.0
Minority Interests,2022-12-31,-4000000.0
Net Income Including Noncontrolling Interests,2022-12-31,12587000000.0
Net Income Continuous Operations,2022-12-31,12587000000.0
Tax Provision,2022-12-31,1132000000.0
Pretax Income,2022-12-31,13719000000.0
Other Income Expense,2022-12-31,-219000000.0
Other Non Operating Income Expenses,2022-12-31,-43000000.0
Special Income Charges,2022-12-31,-176000000.0
Restructuring And Mergern Acquisition,2022-12-31,176000000.0
Net Non Operating Interest Income Expense,2022-12-31,106000000.0
Interest Expense Non Operating,2022-12-31,191000000.0
Interest Income Non Operating,2022-12-31,297000000.0
Operating Income,2022-12-31,13832000000.0
Operating Expense,2022-12-31,7021000000.0
Research And Development,2022-12-31,3075000000.0
Selling General And Administration,2022-12-31,3946000000.0
Gross Profit,2022-12-31,20853000000.0
Cost Of Revenue,2022-12-31,60609000000.0
Total Revenue,2022-12-31,81462000000.0
Operating Revenue,2022-12-31,81462000000.0
Tax Effect Of Unusual Items,2021-12-31,2970000.0
Tax Rate For Calcs,2021-12-31,0.11
Normalized EBITDA,2021-12-31,9598000000.0
Total Unusual Items,2021-12-31,27000000.0
Total Unusual Items Excluding Goodwill,2021-12-31,27000000.0
Net Income From Continuing Operation Net Minority Interest,2021-12-31,5524000000.0
Reconciled Depreciation,2021-12-31,2911000000.0
Reconciled Cost Of Revenue,2021-12-31,40217000000.0
EBITDA,2021-12-31,9625000000.0
EBIT,2021-12-31,6714000000.0
Net Interest Income,2021-12-31,-315000000.0
Interest Expense,2021-12-31,371000000.0
Interest Income,2021-12-31,56000000.0
Normalized Income,2021-12-31,5499970000.0
Net Income From Continuing And Discontinued Operation,2021-12-31,5524000000.0
Total Expenses,2021-12-31,47327000000.0
Rent Expense Supplemental,2021-12-31,978000000.0
Total Operating Income As Reported,2021-12-31,6523000000.0
Diluted Average Shares,2021-12-31,3386000000.0
Basic Average Shares,2021-12-31,2959000000.0
Diluted EPS,2021-12-31,1.63
Basic EPS,2021-12-31,1.87
Diluted NI Availto Com Stockholders,2021-12-31,5533000000.0
Average Dilution Earnings,2021-12-31,9000000.0
Net Income Common Stockholders,2021-12-31,5524000000.0
Otherunder Preferred Stock Dividend,2021-12-31,-5000000.0
Net Income,2021-12-31,5524000000.0
Minority Interests,2021-12-31,-120000000.0
Net Income Including Noncontrolling Interests,2021-12-31,5644000000.0
Net Income Continuous Operations,2021-12-31,5644000000.0
Tax Provision,2021-12-31,699000000.0
Pretax Income,2021-12-31,6343000000.0
Other Income Expense,2021-12-31,162000000.0
Other Non Operating Income Expenses,2021-12-31,135000000.0
Special Income Charges,2021-12-31,27000000.0
Restructuring And Mergern Acquisition,2021-12-31,-27000000.0
Net Non Operating Interest Income Expense,2021-12-31,-315000000.0
Interest Expense Non Operating,2021-12-31,371000000.0
Interest Income Non Operating,2021-12-31,56000000.0
Operating Income,2021-12-31,6496000000.0
Operating Expense,2021-12-31,7110000000.0
Research And Development,2021-12-31,2593000000.0
Selling General And Administration,2021-12-31,4517000000.0
Gross Profit,2021-12-31,13606000000.0
Cost Of Revenue,2021-12-31,40217000000.0
Total Revenue,2021-12-31,53823000000.0
Operating Revenue,2021-12-31,53823000000.0
Tax Effect Of Unusual Items,2020-12-31,0.0
Tax Rate For Calcs,2020-12-31,0.25
Normalized EBITDA,2020-12-31,4224000000.0
Total Unusual Items,2020-12-31,0.0
Total Unusual Items Excluding Goodwill,2020-12-31,0.0
Net Income From Continuing Operation Net Minority Interest,2020-12-31,721000000.0
Reconciled Depreciation,2020-12-31,2322000000.0
Reconciled Cost Of Revenue,2020-12-31,24906000000.0
EBITDA,2020-12-31,4224000000.0
EBIT,2020-12-31,1902000000.0
Net Interest Income,2020-12-31,-718000000.0
Interest Expense,2020-12-31,748000000.0
Interest Income,2020-12-31,30000000.0
Normalized Income,2020-12-31,721000000.0
Net Income From Continuing And Discontinued Operation,2020-12-31,721000000.0
Total Expenses,2020-12-31,29542000000.0
Rent Expense Supplemental,2020-12-31,563000000.0
Total Operating Income As Reported,2020-12-31,-1994000000.0
Diluted Average Shares,2020-12-31,2880000000.0
Basic Average Shares,2020-12-31,2880000000.0
Diluted EPS,2020-12-31,0.213333
Basic EPS,2020-12-31,0.246667
Diluted NI Availto Com Stockholders,2020-12-31,690000000.0
Average Dilution Earnings,2020-12-31,0.0
Net Income Common Stockholders,2020-12-31,690000000.0
Otherunder Preferred Stock Dividend,2020-12-31,31000000.0
Net Income,2020-12-31,721000000.0
Minority Interests,2020-12-31,-141000000.0
Net Income Including Noncontrolling Interests,2020-12-31,862000000.0
Net Income Continuous Operations,2020-12-31,862000000.0
Tax Provision,2020-12-31,292000000.0
Pretax Income,2020-12-31,1154000000.0
Other Income Expense,2020-12-31,-122000000.0
Other Non Operating Income Expenses,2020-12-31,-122000000.0
Special Income Charges,2020-12-31,0.0
Restructuring And Mergern Acquisition,2020-12-31,0.0
Net Non Operating Interest Income Expense,2020-12-31,-718000000.0
Interest Expense Non Operating,2020-12-31,748000000.0
Interest Income Non Operating,2020-12-31,30000000.0
Operating Income,2020-12-31,1994000000.0
Operating Expense,2020-12-31,4636000000.0
Research And Development,2020-12-31,1491000000.0
Selling General And Administration,2020-12-31,3145000000.0
Gross Profit,2020-12-31,6630000000.0
Cost Of Revenue,2020-12-31,24906000000.0
Total Revenue,2020-12-31,31536000000.0
Operating Revenue,2020-12-31,31536000000.0
